id,block_height,sequence,memo,time_stamp,sender,receiver,chain,tx_hash,amount,denom,effected
000938DDC5639E51FBCB6F5808EB0EF8D3C03B7EA66FC19D7EFA3D572546E063-1,13818949,105952,Relayed by cosmosrescue.com | hermes 1.9.0 (https://hermes.informal.systems),Wed Jul 31 2024 15:13:12 GMT+0000 (GMT),terra1ajhn3sfkqpqydqz9jd6eg67jeq0pxtkzn9sula,axelar15daedqkhvt64jyldq5674058thgpdrue9rqn46,axelar-dojo-1,000938DDC5639E51FBCB6F5808EB0EF8D3C03B7EA66FC19D7EFA3D572546E063,600000000,transfer/channel-6/uusdc,0
000F5A99BC4826E116EFB746D00F0BDC4CF6E2AFA487FCE6FCDB3E380F0E8B13-1,13820302,106476,👾 Relayed by cosmosrescue.com | rly(2.5.2-28-gdf42391),Wed Jul 31 2024 17:25:44 GMT+0000 (GMT),terra1ajhn3sfkqpqydqz9jd6eg67jeq0pxtkzn9sula,axelar15daedqkhvt64jyldq5674058thgpdrue9rqn46,axelar-dojo-1,000F5A99BC4826E116EFB746D00F0BDC4CF6E2AFA487FCE6FCDB3E380F0E8B13,222000000,transfer/channel-6/uusdc,0
001954DBA1F03FA0EA0999B31FB0F2C25713B9F0F610FEED09919E84369959E6-1,13819760,106228,Relayed by cosmosrescue.com | hermes 1.9.0 (https://hermes.informal.systems),Wed Jul 31 2024 16:32:35 GMT+0000 (GMT),terra1ajhn3sfkqpqydqz9jd6eg67jeq0pxtkzn9sula,axelar15daedqkhvt64jyldq5674058thgpdrue9rqn46,axelar-dojo-1,001954DBA1F03FA0EA0999B31FB0F2C25713B9F0F610FEED09919E84369959E6,10000000,transfer/channel-6/uusdc,0
002397C4CAFD9CC9D85D8B372B7C0075B64AB479A254A27FE0867154000BEF5B-1,13811640,103865,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 03:16:18 GMT+0000 (GMT),terra1amwqv78sl0udfv73tptau9q87cyhx55rrvckwk,axelar1v6r5xx4eug7qanhedzj8r0zma42arckrx9de0r,axelar-dojo-1,002397C4CAFD9CC9D85D8B372B7C0075B64AB479A254A27FE0867154000BEF5B,100000000,transfer/channel-6/uusdc,0
002A719D0CF60AEA06072A1CCE9B4E8EA7179AB07B611BC443747EC51D2EA163-1,13850829,107861,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Fri Aug 02 2024 19:19:43 GMT+0000 (GMT),terra1gqen4nmatzkgemacvzvhcrmdm9dxp955ent90w,axelar1t5ha66sv755c3jgqlgl9qemmn63uvwlm8sn8p6,axelar-dojo-1,002A719D0CF60AEA06072A1CCE9B4E8EA7179AB07B611BC443747EC51D2EA163,2000000,transfer/channel-6/uusdc,0
0035E8E16D502D712025DC16A4B8D9F5DEF248EA831E0EDCC8C0EBF24B071D36-1,13815856,105354,rly(),Wed Jul 31 2024 10:10:34 GMT+0000 (GMT),terra18h7ld57f9whrmwktmz5pecd2pnf9kfqa5n2skp,axelar1dultlt37nav8y6l96y5tzq3ghz7mfr3l8l5h8n,axelar-dojo-1,0035E8E16D502D712025DC16A4B8D9F5DEF248EA831E0EDCC8C0EBF24B071D36,1000000,transfer/channel-6/uusdt,0
0060465E91C3AD75A344C4D51483FA135EFA3F4CC79B01458C2959A3C55E4B7F-1,13829410,107290,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Thu Aug 01 2024 08:17:09 GMT+0000 (GMT),terra1gxk6hzx3czyhd8e6yus4t6l7n3nmpxfxknlp3g,axelar1pwlqw8cnawgyga9u0egsa9plgmhxdllrhd5nk3,axelar-dojo-1,0060465E91C3AD75A344C4D51483FA135EFA3F4CC79B01458C2959A3C55E4B7F,91667405,transfer/channel-6/uusdc,0
006448CA4D858D43C8E6FAA3C3C998506B0987F2C70BC772956B4E28C13C5AB9-1,13820405,106505,Relayed by cosmosrescue.com | hermes 1.9.0 (https://hermes.informal.systems),Wed Jul 31 2024 17:35:49 GMT+0000 (GMT),terra15xvlat5k5gvsz52z6m2hkhpqlsqlen8lh8h5ex,axelar1fgkjezmhw4acr7wtzqwaym29zxpf3pk5rvmm565h3y4rjs6lcjrqe2v8sq,axelar-dojo-1,006448CA4D858D43C8E6FAA3C3C998506B0987F2C70BC772956B4E28C13C5AB9,7262497,transfer/channel-6/uusdc,0
006E6C6421C54698DA19FFF0BD3F635E8291A1F4C210419CFD78D544C9DC714C-1,13814727,104971,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 08:19:51 GMT+0000 (GMT),terra1k4xx25ux6u04wp2v9l5ms2m9ky3m7nf5jedmz8,axelar1q9zlz5t36veg0x27x70d88uz2z2mpzmm4jgw9q,axelar-dojo-1,006E6C6421C54698DA19FFF0BD3F635E8291A1F4C210419CFD78D544C9DC714C,215252983,transfer/channel-6/uusdc,0
006E6C6421C54698DA19FFF0BD3F635E8291A1F4C210419CFD78D544C9DC714C-2,13814727,104972,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 08:19:51 GMT+0000 (GMT),terra143kcg4pnlsrpmtjmkkz9kxymxwh6xew4q5gz96,axelar18jg2xgvqc4q38608k3yyynxa36q4dh8gx7pj9f,axelar-dojo-1,006E6C6421C54698DA19FFF0BD3F635E8291A1F4C210419CFD78D544C9DC714C,1025000000,transfer/channel-6/uusdc,0
007E6E38D2A4D8BB80A50D2C96808DA7BD7FED79823BA46F56C31EB5C96900B4-1,13817192,105527,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 12:21:20 GMT+0000 (GMT),terra1h0k59srhycz34jrltmef9l3u8u7ht28nxdyhvg,axelar1j5mzxyej2rk0v48exukax7tn2w9axq8j97st4z,axelar-dojo-1,007E6E38D2A4D8BB80A50D2C96808DA7BD7FED79823BA46F56C31EB5C96900B4,32253,transfer/channel-6/wbtc-satoshi,0
00A248AB5FBEA962C170682F798FE42DE1A47972094FE3ABA0F44AC18579599D-1,13817046,105503,rly(),Wed Jul 31 2024 12:06:58 GMT+0000 (GMT),terra1xu7ksvrl96g4jvekhfka9v8lkth2zlqwsqpswk,axelar1a7jn0l8lq5tgcazcxwlyu29y5m9rlk9v9h2dhh5xx7ph8uqej6ms64yn5k,axelar-dojo-1,00A248AB5FBEA962C170682F798FE42DE1A47972094FE3ABA0F44AC18579599D,658215572,transfer/channel-6/uusdc,0
00C87C7BD12C751FAF3B117152660AC5AE66D001B44210A18173890EBB8AD511-1,13815009,105086,Terraform Labs | hermes 1.10.0+fc998de (https://hermes.informal.systems),Wed Jul 31 2024 08:47:32 GMT+0000 (GMT),terra1tct8cuv564a94m9pr5jjjcxvsqmnhg0s9t62jp,axelar1fe5h88wjlyay5qwj2kz230z5rwm5r9fl2u38u4,axelar-dojo-1,00C87C7BD12C751FAF3B117152660AC5AE66D001B44210A18173890EBB8AD511,1642380576,transfer/channel-6/uusdc,0
00D24DCC64633EB8E49D93E1DEC9E81CD9A1CBC9B13A9F554254BAE0F2D1F0E5-1,13824536,106949,Relayed with 💜 by Lavender.Five Nodes 🐝 | rly(2.5.2),Thu Aug 01 2024 00:20:13 GMT+0000 (GMT),terra14ksr7s5umvc9plkq8y9kgfpk5rqy760rg7f2mm,axelar1mnjxspfef5yr09x8j2tx98gl2rupw032kjgl5s,axelar-dojo-1,00D24DCC64633EB8E49D93E1DEC9E81CD9A1CBC9B13A9F554254BAE0F2D1F0E5,268401833,transfer/channel-6/uusdc,0
00D8F633E8B999DD25E59B91EB11A2BE9E05834100E5E5300FD8F7C1C77AB044-2,13677219,2134921,Inter Blockchain Services Relayer | hermes 1.9.0+a026d661 (https://hermes.informal.systems),Sun Jul 21 2024 22:45:10 GMT+0000 (GMT),axelar1ehgpg7qr72vglkaqvtc5uu3gfqkjfynmkdge2f,osmo1vkdakqqg5htq5c3wy2kj2geq536q665xdexrtjuwqckpads2c2nsvhhcyv,axelar-dojo-1,00D8F633E8B999DD25E59B91EB11A2BE9E05834100E5E5300FD8F7C1C77AB044,270,uaxl,0
00D8F76756B2E374B0E7CAB71078E95B362682B1CB59710FAAFFCA372C381A2F-1,13815531,105270,Relayed by cosmosrescue.com | hermes 1.9.0 (https://hermes.informal.systems),Wed Jul 31 2024 09:38:44 GMT+0000 (GMT),terra1aeuq5nxayphgk400jq0ush4jxfdp2uar5ut7hg,axelar1kfjtf7r594krs8zesf7zx6argu7wvw4l8z7h90,axelar-dojo-1,00D8F76756B2E374B0E7CAB71078E95B362682B1CB59710FAAFFCA372C381A2F,100000000,transfer/channel-6/uusdc,0
00D8F76756B2E374B0E7CAB71078E95B362682B1CB59710FAAFFCA372C381A2F-2,13815531,105271,Relayed by cosmosrescue.com | hermes 1.9.0 (https://hermes.informal.systems),Wed Jul 31 2024 09:38:44 GMT+0000 (GMT),terra18h7ld57f9whrmwktmz5pecd2pnf9kfqa5n2skp,axelar1dultlt37nav8y6l96y5tzq3ghz7mfr3l8l5h8n,axelar-dojo-1,00D8F76756B2E374B0E7CAB71078E95B362682B1CB59710FAAFFCA372C381A2F,1000000,transfer/channel-6/uusdt,0
